time_s,n_samples,mean_price_impact,std_price_impact,q05_price_impact,q95_price_impact
0.0,200,0.0,0.0,0.0,0.0
0.002,200,0.001968176464446712,0.004198520694102309,0.0,0.011221921048422498
0.004,200,0.002369959834813806,0.00437271630554709,0.0,0.011221921048422498
0.006,200,0.003821249775429743,0.005722090701210297,0.0,0.01386823882298982
0.008,200,0.004142178998692891,0.005678384006337125,0.0,0.01386823882298982
0.01,200,0.0045130073980241,0.005637590081412578,0.0,0.01386823882298982
0.012,200,0.00542936114837192,0.006285251703151693,0.0,0.018328484747875674
0.014,200,0.00542936114837192,0.006285251703151693,0.0,0.018328484747875674
0.016,200,0.00542936114837192,0.006285251703151693,0.0,0.018328484747875674
0.018000000000000002,200,0.008552218566788387,0.013843677010588067,0.0,0.020560363752490204
0.02,200,0.008892866997450028,0.01387091616586194,0.0,0.020560363752490204
0.022,200,0.010478120835310571,0.02027484105269298,0.0,0.022145617590350206
0.024,200,0.010478120835310571,0.02027484105269298,0.0,0.022145617590350206
0.026000000000000002,200,0.010478120835310571,0.02027484105269298,0.0,0.022145617590350206
0.028,200,0.011571745172794665,0.02084059982179169,0.0,0.035623976206102075
0.03,200,0.012342376184727461,0.020957921520866504,0.0,0.035623976206102075
0.032,200,0.012342376184727461,0.020957921520866504,0.0,0.035623976206102075
0.034,200,0.012342376184727461,0.020957921520866504,0.0,0.035623976206102075
0.036000000000000004,200,0.013838813325897233,0.02177882775103632,0.0,0.042440673231201965
0.038,200,0.013838813325897233,0.02177882775103632,0.0,0.042440673231201965
0.04,200,0.013838813325897233,0.02177882775103632,0.0,0.042440673231201965
0.042,200,0.013838813325897233,0.02177882775103632,0.0,0.042440673231201965
0.044,200,0.01701019168809358,0.03432790132664694,0.0,0.045612051593397235
0.046,200,0.01701019168809358,0.03432790132664694,0.0,0.045612051593397235
0.048,200,0.017052809721027448,0.03430717599697956,0.0,0.045612051593397235
0.05,200,0.01945475349561233,0.03583323334421504,0.0,0.061783508328443204
0.052000000000000005,200,0.020071042048506457,0.03656908291590753,0.0,0.07349299083343178
0.054,200,0.020071042048506457,0.03656908291590753,0.0,0.07349299083343178
0.056,200,0.020071042048506457,0.03656908291590753,0.0,0.07349299083343178
0.058,200,0.020071042048506457,0.03656908291590753,0.0,0.07349299083343178
0.06,200,0.021721965638772187,0.04305894641627362,0.0,0.07514391442369694
0.062,200,0.021721965638772187,0.04305894641627362,0.0,0.07514391442369694
0.064,200,0.021721965638772187,0.04305894641627362,0.0,0.07514391442369694
0.066,200,0.021721965638772187,0.04305894641627362,0.0,0.07514391442369694
0.068,200,0.021721965638772187,0.04305894641627362,0.0,0.07514391442369694
0.07,200,0.02667628860462201,0.04313235762964212,0.0,0.07514391442369694
0.07200000000000001,200,0.02667628860462201,0.04313235762964212,0.0,0.07514391442369694
0.074,200,0.03329275784479396,0.046577947613071,0.0,0.11911341496452255
0.076,200,0.037791632792437926,0.04716397229405476,0.0,0.11911341496452255
0.078,200,0.03800824178052662,0.04717148730964115,0.0,0.11911341496452255
0.08,200,0.03844877767996773,0.047342157532720856,0.0,0.11911341496452255
0.082,200,0.03844877767996773,0.047342157532720856,0.0,0.11911341496452255
0.084,200,0.03905301317705825,0.04745728028036208,0.0,0.11911341496452255
0.08600000000000001,200,0.03905301317705825,0.04745728028036208,0.0,0.11911341496452255
0.088,200,0.03905301317705825,0.04745728028036208,0.0,0.11911341496452255
0.09,200,0.03905301317705825,0.04745728028036208,0.0,0.11911341496452255
0.092,200,0.03905301317705825,0.04745728028036208,0.0,0.11911341496452255
0.094,200,0.03905301317705825,0.04745728028036208,0.0,0.11911341496452255
0.096,200,0.04516817680342077,0.04950796569276056,0.0,0.12097020300696287
0.098,200,0.04516817680342077,0.04950796569276056,0.0,0.12097020300696287
0.1,200,0.04516817680342077,0.04950796569276056,0.0,0.12097020300696287
0.10200000000000001,200,0.04516817680342077,0.04950796569276056,0.0,0.12097020300696287
0.10400000000000001,200,0.04516817680342077,0.04950796569276056,0.0,0.12097020300696287
0.106,200,0.04516817680342077,0.04950796569276056,0.0,0.12097020300696287
0.108,200,0.04516817680342077,0.04950796569276056,0.0,0.12097020300696287
0.11,200,0.04516817680342077,0.04950796569276056,0.0,0.12097020300696287
0.112,200,0.0462628728751822,0.049780073584099846,0.0,0.12097020300696287
0.114,200,0.0462628728751822,0.049780073584099846,0.0,0.12097020300696287
0.116,200,0.046362835734415506,0.0499248871521601,0.0,0.12286949733239567
0.11800000000000001,200,0.046362835734415506,0.0499248871521601,0.0,0.12286949733239567
0.12,200,0.046362835734415506,0.0499248871521601,0.0,0.12286949733239567
0.122,200,0.046541592555168945,0.050015535770969566,0.0,0.12286949733239567
0.124,200,0.046541592555168945,0.050015535770969566,0.0,0.12286949733239567
0.126,200,0.05305573101900658,0.07246332794583946,0.0,0.1264183579064656
0.128,200,0.05305573101900658,0.07246332794583946,0.0,0.1264183579064656
0.13,200,0.06075048367636062,0.07656631715298032,0.0,0.18728729882617248
0.132,200,0.06075048367636062,0.07656631715298032,0.0,0.18728729882617248
0.134,200,0.06075048367636062,0.07656631715298032,0.0,0.18728729882617248
0.136,200,0.06075048367636062,0.07656631715298032,0.0,0.18728729882617248
0.138,200,0.06075048367636062,0.07656631715298032,0.0,0.18728729882617248
0.14,200,0.06075048367636062,0.07656631715298032,0.0,0.18728729882617248
0.14200000000000002,200,0.06075048367636062,0.07656631715298032,0.0,0.18728729882617248
0.14400000000000002,200,0.06794528111592264,0.07735902223706917,0.0,0.18728729882617248
0.146,200,0.06885810253397893,0.0777350052596725,0.0,0.18728729882617248
0.148,200,0.07204186194808698,0.07694527496253178,0.0,0.18728729882617248
0.15,200,0.07204186194808698,0.07694527496253178,0.0,0.18728729882617248
0.152,200,0.07211367512861207,0.07694999526998643,0.0,0.18728729882617248
0.154,200,0.07211367512861207,0.07694999526998643,0.0,0.18728729882617248
0.156,200,0.07455834604958528,0.0758319092405082,0.0,0.18728729882617248
0.158,200,0.07455834604958528,0.0758319092405082,0.0,0.18728729882617248
0.16,200,0.07455834604958528,0.0758319092405082,0.0,0.18728729882617248
0.162,200,0.07455834604958528,0.0758319092405082,0.0,0.18728729882617248
0.164,200,0.07455834604958528,0.0758319092405082,0.0,0.18728729882617248
0.166,200,0.07455834604958528,0.0758319092405082,0.0,0.18728729882617248
0.168,200,0.07455834604958528,0.0758319092405082,0.0,0.18728729882617248
0.17,200,0.07455834604958528,0.0758319092405082,0.0,0.18728729882617248
0.17200000000000001,200,0.07455208873197007,0.075857909169481,0.0,0.18728729882617248
0.17400000000000002,200,0.07416314718231287,0.07483980695595867,0.0,0.1857208264864097
0.176,200,0.07517297038915627,0.07568112232100996,0.0,0.1857208264864097
0.178,200,0.07517297038915627,0.07568112232100996,0.0,0.1857208264864097
0.18,200,0.07517297038915627,0.07568112232100996,0.0,0.1857208264864097
0.182,200,0.07517297038915627,0.07568112232100996,0.0,0.1857208264864097
0.184,200,0.07517297038915627,0.07568112232100996,0.0,0.1857208264864097
0.186,200,0.07517297038915627,0.07568112232100996,0.0,0.1857208264864097
0.188,200,0.07517297038915627,0.07568112232100996,0.0,0.1857208264864097
0.19,200,0.07517297038915627,0.07568112232100996,0.0,0.1857208264864097
0.192,200,0.0748403824897524,0.07556925760670542,0.0,0.1857208264864097
0.194,200,0.07818302310585447,0.07517769245691924,0.0,0.1857208264864097
0.196,200,0.07818302310585447,0.07517769245691924,0.0,0.1857208264864097
0.198,200,0.07818302310585447,0.07517769245691924,0.0,0.1857208264864097
0.2,200,0.07818302310585447,0.07517769245691924,0.0,0.1857208264864097
0.202,200,0.07818302310585447,0.07517769245691924,0.0,0.1857208264864097
0.20400000000000001,200,0.07818302310585447,0.07517769245691924,0.0,0.1857208264864097
0.20600000000000002,200,0.07818302310585447,0.07517769245691924,0.0,0.1857208264864097
0.20800000000000002,200,0.07818302310585447,0.07517769245691924,0.0,0.1857208264864097
0.21,200,0.08117982412267002,0.07353014055465543,0.0,0.1857208264864097
0.212,200,0.08117982412267002,0.07353014055465543,0.0,0.1857208264864097
0.214,200,0.08117982412267002,0.07353014055465543,0.0,0.1857208264864097
0.216,200,0.08117982412267002,0.07353014055465543,0.0,0.1857208264864097
0.218,200,0.08057124631386146,0.07334999556387992,0.0,0.1857208264864097
0.22,200,0.08057124631386146,0.07334999556387992,0.0,0.1857208264864097
0.222,200,0.08057124631386146,0.07334999556387992,0.0,0.1857208264864097
0.224,200,0.08048950568043284,0.07333045914189865,0.0,0.1857208264864097
0.226,200,0.08048950568043284,0.07333045914189865,0.0,0.1857208264864097
0.228,200,0.08048950568043284,0.07333045914189865,0.0,0.1857208264864097
0.23,200,0.08048950568043284,0.07333045914189865,0.0,0.1857208264864097
0.232,200,0.08048950568043284,0.07333045914189865,0.0,0.1857208264864097
0.234,200,0.07934455131992695,0.06900707088111016,0.0,0.1858217415828616
0.23600000000000002,200,0.0794947817971213,0.06899086470508489,0.0,0.1858217415828616
0.23800000000000002,200,0.07865083735575035,0.06928152007548538,0.0,0.1858217415828616
0.24,200,0.07865083735575035,0.06928152007548538,0.0,0.1858217415828616
0.242,200,0.07886632883731566,0.0699575698997121,0.0,0.18599920515591534
0.244,200,0.07886632883731566,0.0699575698997121,0.0,0.18599920515591534
0.246,200,0.08091871900479676,0.06891669523067474,0.0,0.18599920515591534
0.248,200,0.08091871900479676,0.06891669523067474,0.0,0.18599920515591534
0.25,200,0.08091871900479676,0.06891669523067474,0.0,0.18599920515591534
0.252,200,0.08091871900479676,0.06891669523067474,0.0,0.18599920515591534
0.254,200,0.0812625779794866,0.06889366411790541,0.0,0.18599920515591534
0.256,200,0.0812625779794866,0.06889366411790541,0.0,0.18599920515591534
0.258,200,0.0812625779794866,0.06889366411790541,0.0,0.18599920515591534
0.26,200,0.08057404845281356,0.06845900738652058,0.0,0.18599920515591534
0.262,200,0.0800989612673586,0.06831581516073887,0.0,0.18599920515591534
0.264,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.266,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.268,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.27,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.272,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.274,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.276,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.278,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.28,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.28200000000000003,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.28400000000000003,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.28600000000000003,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.28800000000000003,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.29,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.292,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.294,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.296,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.298,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.3,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.302,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.304,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.306,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.308,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.31,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.312,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.314,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.316,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.318,200,0.079671336961455,0.06681024521758501,0.0,0.18606662414501526
0.32,200,0.07798095061148105,0.06488472124693634,0.0,0.1849944531284273
0.322,200,0.07798095061148105,0.06488472124693634,0.0,0.1849944531284273
0.324,200,0.08010841286191027,0.06437185355277877,0.0,0.1849944531284273
