episode_id,policy_path_id,window_start,cycle_id,order_id,order_slot,post_time_s,qty,cancel_time_s
0,0,2025-05-29 10:30:00.006003-04:00,0,0,0,0.0,1,0.40000894068408155
0,0,2025-05-29 10:30:00.006003-04:00,0,1,1,0.01,1,0.40008252061560867
0,0,2025-05-29 10:30:00.006003-04:00,0,2,2,0.02,1,0.4000898477498233
0,0,2025-05-29 10:30:00.006003-04:00,0,3,3,0.03,1,0.4002977884872005
0,0,2025-05-29 10:30:00.006003-04:00,0,4,4,0.04,1,0.4003858825508851
0,0,2025-05-29 10:30:00.006003-04:00,0,5,5,0.05,1,0.40044874563345645
0,0,2025-05-29 10:30:00.006003-04:00,0,6,6,0.06,1,0.40049790158576276
0,0,2025-05-29 10:30:00.006003-04:00,0,7,7,0.07,1,0.40056090234301645
0,0,2025-05-29 10:30:00.006003-04:00,0,8,8,0.08,1,0.4006212646905622
0,0,2025-05-29 10:30:00.006003-04:00,0,9,9,0.09,1,0.4007054283434254
0,0,2025-05-29 10:30:00.006003-04:00,1,11,1,0.46070542834342537,1,0.8757122719379099
0,0,2025-05-29 10:30:00.006003-04:00,1,12,2,0.4707054283434254,1,0.8757245269620446
0,0,2025-05-29 10:30:00.006003-04:00,1,13,3,0.48070542834342533,1,0.8758670528084066
0,0,2025-05-29 10:30:00.006003-04:00,1,14,4,0.49070542834342534,1,0.876270482995242
0,0,2025-05-29 10:30:00.006003-04:00,1,15,5,0.5007054283434254,1,0.8763997013315858
0,0,2025-05-29 10:30:00.006003-04:00,1,16,6,0.5107054283434254,1,0.8764068973883624
0,0,2025-05-29 10:30:00.006003-04:00,1,17,7,0.5207054283434254,1,0.8764285493237782
0,0,2025-05-29 10:30:00.006003-04:00,1,18,8,0.5307054283434254,1,0.8765924217403728
0,0,2025-05-29 10:30:00.006003-04:00,1,19,9,0.5407054283434254,1,0.8766448432461652
0,0,2025-05-29 10:30:00.006003-04:00,2,20,0,0.9266448432461653,1,1.3267798375466544
0,0,2025-05-29 10:30:00.006003-04:00,2,21,1,0.9366448432461653,1,1.3268292343964412
