episode_id,policy_path_id,window_start,cycle_id,order_id,order_slot,post_time_s,fill_time_s,qty,impact_left,cost_jump,contribution,cumulative_cost
0,0,2025-05-29 10:30:00.006003-04:00,1,10,0,0.45070542834342536,0.8656833436676477,1,0.010185533543299995,0.010185533543299995,0.010185533543299995,0.010185533543299995
0,1,2025-05-29 10:30:00.006003-04:00,0,0,0,0.0,0.19964815011494486,1,0.006445169789330325,0.006445169789330325,0.006445169789330325,0.006445169789330325
0,1,2025-05-29 10:30:00.006003-04:00,1,10,0,0.4509849262282567,0.8174117178104983,1,0.009962843543299994,0.009962843543299994,0.009962843543299994,0.016408013332630318
0,1,2025-05-29 10:30:00.006003-04:00,2,20,0,0.9019358918308338,1.0741902356733248,1,0.011020164697087187,0.011020164697087187,0.011020164697087187,0.027428178029717504
0,2,2025-05-29 10:30:00.006003-04:00,0,0,0,0.0,0.11912364766951217,1,0.006128155570570267,0.006128155570570267,0.006128155570570267,0.006128155570570267
0,2,2025-05-29 10:30:00.006003-04:00,0,1,1,0.01,0.12980230185123137,1,0.006285431810397292,0.006285431810397292,0.006285431810397292,0.01241358738096756
0,2,2025-05-29 10:30:00.006003-04:00,1,10,0,0.4507478485168263,0.6111256998758738,1,0.007539057936345757,0.007539057936345757,0.007539057936345757,0.019952645317313316
0,2,2025-05-29 10:30:00.006003-04:00,1,11,1,0.4607478485168263,0.61120005241725,1,0.007539057936345757,0.007539057936345757,0.007539057936345757,0.027491703253659072
0,2,2025-05-29 10:30:00.006003-04:00,2,20,0,0.9016583240208907,1.0106494981879452,1,0.010030594097955675,0.010030594097955675,0.010030594097955675,0.03752229735161475
0,3,2025-05-29 10:30:00.006003-04:00,0,0,0,0.0,0.1430929768825326,1,0.006445169789330325,0.006445169789330325,0.006445169789330325,0.006445169789330325
0,3,2025-05-29 10:30:00.006003-04:00,1,10,0,0.4508603634598375,0.6572790645055272,1,0.009593009038465466,0.009593009038465466,0.009593009038465466,0.01603817882779579
0,3,2025-05-29 10:30:00.006003-04:00,1,11,1,0.4608603634598375,0.6586057896957525,1,0.009593009038465466,0.009593009038465466,0.009593009038465466,0.025631187866261257
0,3,2025-05-29 10:30:00.006003-04:00,2,20,0,0.9017110781690638,1.1877352172440814,1,0.010951644697087187,0.010951644697087187,0.010951644697087187,0.03658283256334845
0,3,2025-05-29 10:30:00.006003-04:00,2,21,1,0.9117110781690638,1.1889389361469913,1,0.010951644697087187,0.010951644697087187,0.010951644697087187,0.04753447726043564
0,4,2025-05-29 10:30:00.006003-04:00,0,0,0,0.0,0.19341494443551788,1,0.006445169789330325,0.006445169789330325,0.006445169789330325,0.006445169789330325
0,4,2025-05-29 10:30:00.006003-04:00,1,10,0,0.4509280680086832,0.5826885848386649,1,0.007778877936345757,0.007778877936345757,0.007778877936345757,0.014224047725676082
0,4,2025-05-29 10:30:00.006003-04:00,1,11,1,0.4609280680086832,0.6068483430424092,1,0.007778877936345757,0.007778877936345757,0.007778877936345757,0.02200292566202184
0,4,2025-05-29 10:30:00.006003-04:00,2,20,0,0.9019176401298592,1.0623434390206437,1,0.010270414097955675,0.010270414097955675,0.010270414097955675,0.032273339759977517
0,4,2025-05-29 10:30:00.006003-04:00,2,21,1,0.9119176401298592,1.0643902018298868,1,0.010270414097955675,0.010270414097955675,0.010270414097955675,0.04254375385793319
0,4,2025-05-29 10:30:00.006003-04:00,2,22,2,0.9219176401298592,1.065449882418758,1,0.010270414097955675,0.010270414097955675,0.010270414097955675,0.05281416795588887
0,4,2025-05-29 10:30:00.006003-04:00,2,23,3,0.9319176401298592,1.0933781538769745,1,0.01006263828796103,0.01006263828796103,0.01006263828796103,0.0628768062438499
