episode_id,policy_path_id,window_start,cycle_id,order_id,order_slot,post_time_s,qty,time_s,event_kind,displacement_delta
0,0,2025-05-29 10:30:00.006003-04:00,2,26,6,0.961666927921943,1,0.961666927921943,post,1
0,0,2025-05-29 10:30:00.006003-04:00,2,26,6,0.961666927921943,1,1.3427209711629537,cancel,-1
0,0,2025-05-29 10:30:00.006003-04:00,2,27,7,0.971666927921943,1,0.971666927921943,post,1
0,0,2025-05-29 10:30:00.006003-04:00,2,27,7,0.971666927921943,1,1.3428701632434343,cancel,-1
0,0,2025-05-29 10:30:00.006003-04:00,2,28,8,0.981666927921943,1,0.981666927921943,post,1
0,0,2025-05-29 10:30:00.006003-04:00,2,28,8,0.981666927921943,1,1.3429961174892349,cancel,-1
0,0,2025-05-29 10:30:00.006003-04:00,2,29,9,0.991666927921943,1,0.991666927921943,post,1
0,0,2025-05-29 10:30:00.006003-04:00,2,29,9,0.991666927921943,1,1.3430438749551519,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,0,0,0,0.0,1,0.0,post,1
0,1,2025-05-29 10:30:00.006003-04:00,0,0,0,0.0,1,0.4758291822139623,fill,-1
0,1,2025-05-29 10:30:00.006003-04:00,0,1,1,0.01,1,0.01,post,1
0,1,2025-05-29 10:30:00.006003-04:00,0,1,1,0.01,1,0.4824723922216253,fill,-1
0,1,2025-05-29 10:30:00.006003-04:00,0,2,2,0.02,1,0.02,post,1
0,1,2025-05-29 10:30:00.006003-04:00,0,2,2,0.02,1,0.5002597242284285,fill,-1
0,1,2025-05-29 10:30:00.006003-04:00,0,3,3,0.03,1,0.03,post,1
0,1,2025-05-29 10:30:00.006003-04:00,0,3,3,0.03,1,0.5103331621026869,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,0,4,4,0.04,1,0.04,post,1
0,1,2025-05-29 10:30:00.006003-04:00,0,4,4,0.04,1,0.5106500880674062,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,0,5,5,0.05,1,0.05,post,1
0,1,2025-05-29 10:30:00.006003-04:00,0,5,5,0.05,1,0.510659304720673,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,0,6,6,0.06,1,0.06,post,1
0,1,2025-05-29 10:30:00.006003-04:00,0,6,6,0.06,1,0.5107381626585787,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,0,7,7,0.07,1,0.07,post,1
0,1,2025-05-29 10:30:00.006003-04:00,0,7,7,0.07,1,0.5110890226272162,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,0,8,8,0.08,1,0.08,post,1
0,1,2025-05-29 10:30:00.006003-04:00,0,8,8,0.08,1,0.5111019698360566,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,0,9,9,0.09,1,0.09,post,1
0,1,2025-05-29 10:30:00.006003-04:00,0,9,9,0.09,1,0.5112446504566852,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,1,10,0,0.5612446504566853,1,0.5612446504566853,post,1
0,1,2025-05-29 10:30:00.006003-04:00,1,10,0,0.5612446504566853,1,0.6619335834343362,fill,-1
0,1,2025-05-29 10:30:00.006003-04:00,1,11,1,0.5712446504566853,1,0.5712446504566853,post,1
0,1,2025-05-29 10:30:00.006003-04:00,1,11,1,0.5712446504566853,1,0.6674654306588439,fill,-1
0,1,2025-05-29 10:30:00.006003-04:00,1,12,2,0.5812446504566853,1,0.5812446504566853,post,1
0,1,2025-05-29 10:30:00.006003-04:00,1,12,2,0.5812446504566853,1,0.6852272167643266,fill,-1
0,1,2025-05-29 10:30:00.006003-04:00,1,13,3,0.5912446504566853,1,0.5912446504566853,post,1
0,1,2025-05-29 10:30:00.006003-04:00,1,13,3,0.5912446504566853,1,0.9612913760534103,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,1,14,4,0.6012446504566853,1,0.6012446504566853,post,1
0,1,2025-05-29 10:30:00.006003-04:00,1,14,4,0.6012446504566853,1,0.96141978801633,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,1,15,5,0.6112446504566853,1,0.6112446504566853,post,1
0,1,2025-05-29 10:30:00.006003-04:00,1,15,5,0.6112446504566853,1,0.9614742621187607,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,1,16,6,0.6212446504566853,1,0.6212446504566853,post,1
0,1,2025-05-29 10:30:00.006003-04:00,1,16,6,0.6212446504566853,1,0.961544895582788,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,1,17,7,0.6312446504566853,1,0.6312446504566853,post,1
0,1,2025-05-29 10:30:00.006003-04:00,1,17,7,0.6312446504566853,1,0.9618391151477641,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,1,18,8,0.6412446504566852,1,0.6412446504566852,post,1
0,1,2025-05-29 10:30:00.006003-04:00,1,18,8,0.6412446504566852,1,0.9618858929467696,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,1,19,9,0.6512446504566852,1,0.6512446504566852,post,1
0,1,2025-05-29 10:30:00.006003-04:00,1,19,9,0.6512446504566852,1,0.9621956160592622,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,2,20,0,1.0121956160592622,1,1.0121956160592622,post,1
0,1,2025-05-29 10:30:00.006003-04:00,2,20,0,1.0121956160592622,1,1.1258217502900711,fill,-1
0,1,2025-05-29 10:30:00.006003-04:00,2,21,1,1.0221956160592622,1,1.0221956160592622,post,1
0,1,2025-05-29 10:30:00.006003-04:00,2,21,1,1.0221956160592622,1,1.1296454005733745,fill,-1
0,1,2025-05-29 10:30:00.006003-04:00,2,22,2,1.0321956160592622,1,1.0321956160592622,post,1
0,1,2025-05-29 10:30:00.006003-04:00,2,22,2,1.0321956160592622,1,1.1316130280744487,fill,-1
0,1,2025-05-29 10:30:00.006003-04:00,2,23,3,1.0421956160592623,1,1.0421956160592623,post,1
0,1,2025-05-29 10:30:00.006003-04:00,2,23,3,1.0421956160592623,1,1.4122665121550186,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,2,24,4,1.0521956160592623,1,1.0521956160592623,post,1
0,1,2025-05-29 10:30:00.006003-04:00,2,24,4,1.0521956160592623,1,1.4123878367655216,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,2,25,5,1.0621956160592623,1,1.0621956160592623,post,1
0,1,2025-05-29 10:30:00.006003-04:00,2,25,5,1.0621956160592623,1,1.4124545629520326,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,2,26,6,1.0721956160592623,1,1.0721956160592623,post,1
0,1,2025-05-29 10:30:00.006003-04:00,2,26,6,1.0721956160592623,1,1.4125322994244307,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,2,27,7,1.0821956160592623,1,1.0821956160592623,post,1
0,1,2025-05-29 10:30:00.006003-04:00,2,27,7,1.0821956160592623,1,1.4126757600282356,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,2,28,8,1.0921956160592623,1,1.0921956160592623,post,1
0,1,2025-05-29 10:30:00.006003-04:00,2,28,8,1.0921956160592623,1,1.4127897604209279,cancel,-1
0,1,2025-05-29 10:30:00.006003-04:00,2,29,9,1.1021956160592623,1,1.1021956160592623,post,1
0,1,2025-05-29 10:30:00.006003-04:00,2,29,9,1.1021956160592623,1,1.4130423046854728,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,0,0,0,0.0,1,0.0,post,1
0,2,2025-05-29 10:30:00.006003-04:00,0,0,0,0.0,1,0.5424556058161546,fill,-1
0,2,2025-05-29 10:30:00.006003-04:00,0,1,1,0.01,1,0.01,post,1
0,2,2025-05-29 10:30:00.006003-04:00,0,1,1,0.01,1,0.5437305156607888,fill,-1
0,2,2025-05-29 10:30:00.006003-04:00,0,2,2,0.02,1,0.02,post,1
0,2,2025-05-29 10:30:00.006003-04:00,0,2,2,0.02,1,0.554409169842508,fill,-1
0,2,2025-05-29 10:30:00.006003-04:00,0,3,3,0.03,1,0.03,post,1
0,2,2025-05-29 10:30:00.006003-04:00,0,3,3,0.03,1,0.5646516973006778,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,0,4,4,0.04,1,0.04,post,1
0,2,2025-05-29 10:30:00.006003-04:00,0,4,4,0.04,1,0.5646870073251403,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,0,5,5,0.05,1,0.05,post,1
0,2,2025-05-29 10:30:00.006003-04:00,0,5,5,0.05,1,0.5648263250970451,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,0,6,6,0.06,1,0.06,post,1
0,2,2025-05-29 10:30:00.006003-04:00,0,6,6,0.06,1,0.5648513192035958,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,0,7,7,0.07,1,0.07,post,1
0,2,2025-05-29 10:30:00.006003-04:00,0,7,7,0.07,1,0.5649270974784698,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,0,8,8,0.08,1,0.08,post,1
0,2,2025-05-29 10:30:00.006003-04:00,0,8,8,0.08,1,0.5649551226749309,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,0,9,9,0.09,1,0.09,post,1
0,2,2025-05-29 10:30:00.006003-04:00,0,9,9,0.09,1,0.5651570183593343,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,1,10,0,0.6151570183593343,1,0.6151570183593343,post,1
0,2,2025-05-29 10:30:00.006003-04:00,1,10,0,0.6151570183593343,1,0.7415762153865935,fill,-1
0,2,2025-05-29 10:30:00.006003-04:00,1,11,1,0.6251570183593343,1,0.6251570183593343,post,1
0,2,2025-05-29 10:30:00.006003-04:00,1,11,1,0.6251570183593343,1,0.7448927252556267,fill,-1
0,2,2025-05-29 10:30:00.006003-04:00,1,12,2,0.6351570183593344,1,0.6351570183593344,post,1
0,2,2025-05-29 10:30:00.006003-04:00,1,12,2,0.6351570183593344,1,0.7489179153462298,fill,-1
0,2,2025-05-29 10:30:00.006003-04:00,1,13,3,0.6451570183593344,1,0.6451570183593344,post,1
0,2,2025-05-29 10:30:00.006003-04:00,1,13,3,0.6451570183593344,1,1.0151730022990184,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,1,14,4,0.6551570183593344,1,0.6551570183593344,post,1
0,2,2025-05-29 10:30:00.006003-04:00,1,14,4,0.6551570183593344,1,1.0152279393816785,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,1,15,5,0.6651570183593344,1,0.6651570183593344,post,1
0,2,2025-05-29 10:30:00.006003-04:00,1,15,5,0.6651570183593344,1,1.0153120517450895,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,1,16,6,0.6751570183593343,1,0.6751570183593343,post,1
0,2,2025-05-29 10:30:00.006003-04:00,1,16,6,0.6751570183593343,1,1.0155516281481924,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,1,17,7,0.6851570183593343,1,0.6851570183593343,post,1
0,2,2025-05-29 10:30:00.006003-04:00,1,17,7,0.6851570183593343,1,1.0158243503763804,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,1,18,8,0.6951570183593343,1,0.6951570183593343,post,1
0,2,2025-05-29 10:30:00.006003-04:00,1,18,8,0.6951570183593343,1,1.0159023172270596,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,1,19,9,0.7051570183593343,1,0.7051570183593343,post,1
0,2,2025-05-29 10:30:00.006003-04:00,1,19,9,0.7051570183593343,1,1.016067493863399,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,2,20,0,1.066067493863399,1,1.066067493863399,post,1
0,2,2025-05-29 10:30:00.006003-04:00,2,20,0,1.066067493863399,1,1.1777375762687037,fill,-1
0,2,2025-05-29 10:30:00.006003-04:00,2,21,1,1.076067493863399,1,1.076067493863399,post,1
0,2,2025-05-29 10:30:00.006003-04:00,2,21,1,1.076067493863399,1,1.180200230818598,fill,-1
0,2,2025-05-29 10:30:00.006003-04:00,2,22,2,1.086067493863399,1,1.086067493863399,post,1
0,2,2025-05-29 10:30:00.006003-04:00,2,22,2,1.086067493863399,1,1.191137043518992,fill,-1
0,2,2025-05-29 10:30:00.006003-04:00,2,23,3,1.096067493863399,1,1.096067493863399,post,1
0,2,2025-05-29 10:30:00.006003-04:00,2,23,3,1.096067493863399,1,1.4660813228955736,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,2,24,4,1.106067493863399,1,1.106067493863399,post,1
0,2,2025-05-29 10:30:00.006003-04:00,2,24,4,1.106067493863399,1,1.4663079446047065,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,2,25,5,1.116067493863399,1,1.116067493863399,post,1
0,2,2025-05-29 10:30:00.006003-04:00,2,25,5,1.116067493863399,1,1.4665346099592602,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,2,26,6,1.126067493863399,1,1.126067493863399,post,1
0,2,2025-05-29 10:30:00.006003-04:00,2,26,6,1.126067493863399,1,1.4666909599222429,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,2,27,7,1.136067493863399,1,1.136067493863399,post,1
0,2,2025-05-29 10:30:00.006003-04:00,2,27,7,1.136067493863399,1,1.4669133700038017,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,2,28,8,1.146067493863399,1,1.146067493863399,post,1
0,2,2025-05-29 10:30:00.006003-04:00,2,28,8,1.146067493863399,1,1.4669663552799221,cancel,-1
0,2,2025-05-29 10:30:00.006003-04:00,2,29,9,1.156067493863399,1,1.156067493863399,post,1
